JKPAYT,#genre#
CCTV12 社会与法,http://192.168.3.1:5001/TVOD/1000000001000032494/ystenlive/index.m3u8$8M1080_易视腾
CCTV12 社会与法,http://192.168.3.1:5001/TVOD/5000000011000031107/bestzb/index.m3u8$6.8M1080_百视通
CCTV12 社会与法,http://192.168.3.1:5001/TVOD/1000000005000265012/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV12 社会与法,http://192.168.3.1:5001/TVOD/1000000001000001640/ystenlive/index.m3u8$4M1080_易视腾
CCTV12 社会与法,http://192.168.3.1:5001/TVOD/5000000006000040012/bestzb/index.m3u8$4M540_百视通
CCTV13 新闻,http://192.168.3.1:5001/TVOD/5000000011000031108/bestzb/index.m3u8$6.8M1080_百视通
CCTV13 新闻,http://192.168.3.1:5001/TVOD/5000000005000001827/bestzb/index.m3u8$4M1080_百视通
CCTV13 新闻,http://192.168.3.1:5001/TVOD/1000000002000021303/ystenlive/index.m3u8$4M1080_易视腾
CCTV14 少儿,http://192.168.3.1:5001/TVOD/5000000004000006673/bestzb/index.m3u8$8M1080_百视通
CCTV14 少儿,http://192.168.3.1:5001/TVOD/6000000001000013647/wasusyt/index.m3u8$8M1080_华数
CCTV14 少儿,http://192.168.3.1:5001/TVOD/1000000001000008170/ystenlive/index.m3u8$8M1080_易视腾
CCTV14 少儿,http://192.168.3.1:5001/TVOD/1000000005000265013/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV14 少儿,http://192.168.3.1:5001/TVOD/5000000010000023358/bestzb/index.m3u8$4M1080_百视通
CCTV14 少儿,http://192.168.3.1:5001/TVOD/1000000001000021349/ystenlive/index.m3u8$4M1080_易视腾
CCTV15 音乐,http://192.168.3.1:5001/TVOD/5000000011000031109/bestzb/index.m3u8$6.8M1080_百视通
CCTV15 音乐,http://192.168.3.1:5001/TVOD/1000000005000265014/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV15 音乐,http://192.168.3.1:5001/TVOD/1000000002000008163/ystenlive/index.m3u8$4M1080_易视腾
CCTV16 奥林匹克,http://192.168.3.1:5001/TVOD/1000000006000233002/ystenlive/index.m3u8$8M1080_易视腾
CCTV16 奥林匹克,http://192.168.3.1:5001/TVOD/5000000008000023253/bestzb/index.m3u8$6.8M1080_百视通
CCTV16 奥林匹克,http://192.168.3.1:5001/TVOD/1000000006000233001/ystenlive/index.m3u8$4M1080_易视腾
CCTV17 农业农村,http://192.168.3.1:5001/TVOD/1000000006000268004/ystenlive/index.m3u8$8M1080_易视腾
CCTV17 农业农村,http://192.168.3.1:5001/TVOD/1000000005000265015/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV17 农业农村,http://192.168.3.1:5001/TVOD/1000000005000056836/ystenlive/index.m3u8$4M1080_易视腾
安徽卫视,http://192.168.3.1:5001/TVOD/6000000001000009954/wasusyt/index.m3u8$8M1080_华数
安徽卫视,http://192.168.3.1:5001/TVOD/1000000001000030159/ystenlive/index.m3u8$8M1080_易视腾
安徽卫视,http://192.168.3.1:5001/TVOD/5000000004000023002/bestzb/index.m3u8$7.5M1080_百视通
安徽卫视,http://192.168.3.1:5001/TVOD/1000000005000265025/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
安徽卫视,http://192.168.3.1:5001/TVOD/5000000001000027288/bestzb/index.m3u8$4M1080_百视通
安徽卫视,http://192.168.3.1:5001/TVOD/1000000001000020780/ystenlive/index.m3u8$4M1080_易视腾
北京纪实科教,http://192.168.3.1:5001/TVOD/1000000001000001910/ystenlive/index.m3u8$8M1080_易视腾
北京纪实科教,http://192.168.3.1:5001/TVOD/5000000011000031204/bestzb/index.m3u8$6.8M1080_百视通
北京纪实科教,http://192.168.3.1:5001/TVOD/2000000002000000065/hnbblive/index.m3u8$6.8M1080_湖南bblive
北京纪实科教,http://192.168.3.1:5001/TVOD/1000000005000265020/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
北京纪实科教,http://192.168.3.1:5001/TVOD/2000000003000000026/hnbblive/index.m3u8$4M1080_湖南bblive
北京纪实科教,http://192.168.3.1:5001/TVOD/1000000001000028380/ystenlive/index.m3u8$4M1080_易视腾
北京卡酷少儿,http://192.168.3.1:5001/TVOD/7851974109718180595/bestzb/index.m3u8$6.8M1080_百视通
北京卡酷少儿,http://192.168.3.1:5001/TVOD/1000000002000002413/ystenlive/index.m3u8$4M576_易视腾
北京卡酷少儿,http://192.168.3.1:5001/TVOD/6000000003000002709/wasusyt/index.m3u8$1.8M576_华数
北京卫视,http://192.168.3.1:5001/TVOD/6000000001000020451/wasusyt/index.m3u8$8M1080_华数
北京卫视,http://192.168.3.1:5001/TVOD/1000000001000021288/ystenlive/index.m3u8$8M1080_易视腾
北京卫视,http://192.168.3.1:5001/TVOD/5000000004000031556/bestzb/index.m3u8$7.5M1080_百视通
北京卫视,http://192.168.3.1:5001/TVOD/1000000005000265027/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
北京卫视,http://192.168.3.1:5001/TVOD/5000000010000011502/bestzb/index.m3u8$4M1080_百视通
北京卫视,http://192.168.3.1:5001/TVOD/1000000001000017156/ystenlive/index.m3u8$4M1080_易视腾
兵团卫视,http://192.168.3.1:5001/TVOD/1000000005000266005/ystenlive/index.m3u8$4M576_易视腾
兵团卫视,http://192.168.3.1:5001/TVOD/5000000006000040020/bestzb/index.m3u8$4M540_百视通
福建东南卫视,http://192.168.3.1:5001/TVOD/5000000004000010584/bestzb/index.m3u8$8M1080_百视通
